REFERENCIA;PRECIO;PRODUCTO
11792;2200;FONYGURITAS ESTRELLAS AHD STDO HERNAN             
11793;1000;FACTURERO 1/64 QUIM+COPIA X25 JUEGOS H,G,                 
11794;8900;KIT MANUALIDADES FOMI 1/8 PRODUVARIOS             
11813;3000;LETRA GRD MAYUS J AMA CL                          
11847;4000;PLASTIFOAMI X6+2 STDO MI TRENSITO                
11849;2700;TIRA FOMI AZUL SURTIDO PRODUVARIOS                
11850;2700;TIRA FOMI AZUL R PRODUVARIOS                      
11851;2700;TIRA FOMI BLANCA PRODUVARIOS                      
11852;2700;TIRA FOMI CAFE PRODUVARIOS                        
11854;2700;TIRA FOMI ROJO PRODUVARIOS                        
11855;2700;TIRA FOMI VERDE VICHE PRODUVARIOS                 
11856;2400;FOMI 1/2 PLIE 2MM UNICOLOR STDO PRODUVARIOS       
11857;500;FOMI CARTA 2MM UNICOLOR STDO PRODUVARIOS          
11858;4500;FOMI PLIEGO 2MM UNICOLOR STDO PRODUVARIOS         
11859;3100;FOMI 1/2 PLIE 2MM UNICLOR CORRUG PRODUVARIOS      
11861;4200;FOMI ROSETI X12 PÔRODUVARIOS                      
11862;3200;FOMI 1/2 PLIE 2MM TEXTURA PRODUVARIOS             
11863;2300;FIGURA ADH ROBOT PRODUVARIOS                      
11864;700;FOMI CARTA TOALLA STDO FORMAS Y C                 
11865;1500;FOMI 4 CTA CTE STDO PRODUVARIOS                   
11871;800;FOMI 1/8 UNICOLOR STDO PRODUVARIOS                
11872;1400;FOMI 1/8 COLOR ESCARCHA STDO FYC     
11876;227650;ROLLO BOLSA PUBLICIDAD 10X16 15.7 KILOS                       
11877;207350;ROLLO BOLSA PUBLICIDAD 10X16 14.3 KILOS             
11878;700;FORRO COS TRANSPARENTE FORMAS Y C                 
11881;400;FORRO GRAPADO TRANSPARENTE FORMAS Y C             
11883;700;FORRO COS UNICOLOR STDO FORMAS Y C                
11884;400;FORRO GRAPADO UNICOLOR STDO FORMAS Y C            
11887;2400;CURVIGRAFO AMBAR N 2 PELIKAN                      
11888;2300;CURVIGRAFO AMBAR N 3 PELIKAN                      
11889;2600;CURVIGRAFO GRANDE 310MM MORRINSON                       
11890;3400;CURVIGRAFO GRANDE N 14 FABER C                    
11891;4500;CURVIGRAFO JUEGO X3 MORRINSON                     
11892;2000;CURVIGRAFO MEDIANO 160MM MORRINSON                      
11893;2800;CURVIGRAFO MEDIANO N 3 FABER C                    
11894;1200;CURVIGRAFO PEQUE•O 140MM MORRINSON                      
11895;2400;CURVIGRAFO PEQUE•O N 2 FABER C                    
11897;31900;ESCALA TRIANGULAR 153-A FABER C                   
11898;6700;ESCALIMETRO 30CM AR2015 DE2080 CLARK            
11899;12300;ESCALIMETRO COOLLEGE 30CM MAPED
11900;4200;ESCALIMETRO TRIANGULAR 30-2 RF 8062 JK            
11901;700;ESCUADRA 12X15CM RAPID                            
11902;1500;ESCUADRA 16-45 PELIKAN                            
11903;2000;ESCUADRA 20-45 PELIKAN                            
11904;1400;ESCUADRA 45/25 TRASPORTADOR L AZUL                
11905;900;ESCUADRA 45-21 L AZUL                             
11906;3100;ESCUADRA 45-25CM R-616 PELIKAN                    
11907;3400;ESCUADRA 45-32-45-11-DUO L AZUL                   
11908;4100;ESCUADRA 45-32CM R-617 PELIKAN                    
11909;1400;ESCUADRA 60/25 TRASPORTADOR L AZUL                
11910;1600;ESCUADRA 60-11 Y 45-11 DUO L AZUL                     
11911;900;ESCUADRA 60-21 L AZUL                             
11912;3100;ESCUADRA 60-25CM R-618 PELIKAN                    
11913;3600;ESCUADRA 60-32 60-11-DUO L AZUL                   
11914;4100;ESCUADRA 60-32CM R-619 PELIKAN                    
11915;1300;ESCUADRA 45-60X26CM RAPID                            
11917;1900;ESCUADRA DE 12 CM 45G -60G FABER C                     
11919;2300;ESCUADRA DE 16 CM 45G-60G FABER C                     
11921;2700;ESCUADRA DE 21 CM 45G-60G FABER C                     
11923;3100;ESCUADRA DE 26 CM 45G-60G FABER C                     
11925;4200;ESCUADRA DE 32 CM 45G-60G FABER C                     
11927;7600;ESCUADRA DE 50 CM 45GR-60G FABER C                    
11931;6200;ESCUADRA MIRADO 45-32CM PAPER MATE                
11932;2300;ESCUADRA MULTIPLEX DE 32CM                        
11933;3100;ESCUADRA MULTIPLEX N 24 MORRISON                  
11934;15300;ESCUADRA TABLERO 45 GDE FABRIESCOF                
11935;15300;ESCUADRA TABLERO 60 GDE FABRIESCOF                
11936;5700;ESCUADRA TRANSPORTADOR MAGICA 993 FABER C         
11937;1300;ESCUADRA X21CM 45GR MORRISON                      
11938;1300;ESCUADRA X21CM 60GR MORRISON                      
11939;1500;ESCUADRA X26CM 45GR MORRISON                      
11940;3200;ESCUADRA X32CM 45GR MORRISON                      
11941;3200;ESCUADRA X32CM 60GR MORRISON                      
11943;9500;JUEGO GEOMETRICO 30CM FABER C                     
11947;3600;JUEGO GEOMETRICO 4-PIEZA MED 20CM MAPED           
11948;2300;JUEGO GEOMETRICO 4-PIEZA MINI MAPED               
11949;2000;JUEGO GEOMETRICO 4-PIEZA PEQ 15CM KORES           
11950;7400;JUEGO GEOMETRICO 5-PIEZA MED PELIKAN              
11951;5000;JUEGO GEOMETRICO CARTUCHERA L AZUL                
11952;3100;JUEGO GEOMETRICO CHINO MORRISON                   
11953;2200;JUEGO GEOMETRICO ECO PP 20CM ARTESCO              
11956;5500;JUEGO GEOMETRICO FLEXIBLE GDE 1752 PRIMAVERA      
11957;2500;JUEGO GEOMETRICO FLEX-X4 30CM JM-1781 MEGA       
11958;4200;JUEGO GEOMETRICO GDE 650 PRIMAVERA                
11962;3600;JUEGO GEOMETRICO L AZUL                           
11963;4200;JUEGO GEOMETRICO MULTIPLEX X24 MORRISON           
11964;5700;JUEGO GEOMETRICO PROFESIONAL X4 MORRISON          
11967;3700;JUEGO GEOMETRICO SET X4 TRITON                    
11968;2500;JUEGO GEOMETRICO X4 12006 JK                      
11970;17900;JUEGO MODISTERIA  X7 UND                                
11972;3600;PLANTILLA CIRCULO MORRISON                        
11973;900;PLANTILLA DE LETRAS L AZUL                        
11974;1400;PLANTILLA DE LETRAS ESTENCIL MORRISON                   
11975;3800;PLANTILLA FILIGRANA IND PAPELERA                  
11976;600;PLANTILLA LETRA PEQ MAYUSC-MINUSC MORRISON               
11977;1200;PLANTILLA MAPA AMERICA MORRISON                   
11978;1900;PLANTILLA MAPA POLITICO COL MORRISON                   
11979;900;PLANTILLA MAPA COL CROQUIS MORRISON               
11980;3600;PLANTILLA OVALOS MORRISON                         
11981;900;PLANTILLA PARA BORRAR AR0728 CLARK          
11983;500;REGLA 15 CMS - TRASLUCIDO L AZUL                  
11984;900;REGLA 15 CMS - TRIANGULAR L AZUL                      
11985;1000;REGLA 20 CMS - SILICONADA L AZUL                  
11986;600;REGLA 20 CMS - TRASLUCIDO L AZUL                  
11987;2100;REGLA 20CM PELIKAN                                
11988;300;REGLA 30CM A B C MORRISON                         
11989;2800;REGLA 30CM PELIKAN                                
11990;900;REGLA 30CM SE•AL-TRANSITO FABER C                 
11992;1400;REGLA 31 CMS SILICONADA TROQUEL L AZUL              
11993;3400;REGLA 40CM PELIKAN                                
11994;2300;REGLA 50 CMS - PROFESIONAL L AZUL                  
11995;4800;REGLA 50CM PELIKAN                                
11996;3500;REGLA ABANICO POINTER 8A145 CLARK                 
11997;600;REGLA CRISTAL 20CM ARTESCO                        
11999;2900;REGLA CRISTAL 50CM SCOLART                        
12000;400;REGLA PLASTICA 20CM MORRISON  
12001;4900;REGLA DE 50 CM PROFES FABER C                     
12002;2000;REGLA DE OVALOS Y CIRCULOS L AZUL                 
12003;1300;REGLA PLANA 814-20CM AP FABER C                 
12004;1100;REGLA ESCOLAR FLEXIBLE HX-0070A YIWU              
12005;550;REGLA ESCOLAR PLAST 30-3 RF 003 JK                
12007;1000;REGLA FLEXIBLE 31 CMS L AZUL                        
12008;1500;REGLA FLEXIBLE 652 PRIMAVERA                      
12009;1100;REGLA FLEXIBLE ABC 30CM RF 1205 JK                
12011;800;REGLA GRAFILADA L AZUL                            
12014;1100;REGLA IRROMPIBLE 30CM ARTESCO                     
12015;6200;REGLA KIDY GRIP 30CM MAPED                      
12016;7700;REGLA MADERA 100CM RH LAM FABRIESCOF              
12017;16900;REGLA MADERA 1M CON MANGO ARTECMA                 
12018;6000;REGLA MADERA 1M M-1 JK                            
12019;13400;REGLA MADERA 1M SIN MANGO ARTECMA                 
12020;700;REGLA MADERA 30CM BARRILITO                       
12021;1200;REGLA MADERA 30CM RH LAM FABRIESCOF               
12022;4000;REGLA MADERA 50CM RH LAM FABRIESCOF               
12023;400;REGLA MADERA MASTER 30CM MASTERKOLOR              
12024;11100;REGLA METALICA 100CM FABRIESCOF                   
12025;2900;REGLA METALICA 30CM FABRIESCOF                    
12026;1300;REGLA METALICA 30CM RF 004 JK                     
12029;5700;REGLA METALICA 50CM FABRIESCOF                    
12033;1400;REGLA COLORES PASTEL 844 PRIMAVERA                
12034;2100;REGLA PERSONAJE NI•A 742 PRIMAVERA                
12035;2100;REGLA PERSONAJE NI•O 743 PRIMAVERA                
12036;1100;REGLA PLANA 814-15 CM FABER C                     
12037;1600;REGLA PLANA 814-30SE COL-TRANSP FABER C           
12038;400;REGLA PLASTICA 15CM MORRISON                      
12039;1900;REGLA PLASTICA 30CM MAPED                         
12040;1200;REGLA PLASTICA 30CM RF 42130 KORES                
12041;1150;REGLA PLASTICA 32CM MORRISON                      
12042;3600;REGLA PLASTICA 50CM MORRISON                      
12043;500;REGLA PLASTICA TRASLUCIDA 30CM POINTER      
12046;1200;REGLA PROFESIONAL 30 CMS L AZUL                     
12047;1000;REGLA SILICONADA 20 CMS L AZUL                      
12048;2100;REGLA T 30 CMS L AZUL                             
12049;3400;REGLA T 30CM MORRISON                             
12050;3700;REGLA T 50 CMS L AZUL                             
12051;6000;REGLA T 50CM MORRISON                             
12052;4600;REGLA T ESCOLAR DE 30CM FABER C                   
12053;8700;REGLA T ESCOLAR DE 50CM FABER C                   
12055;7000;"TIJERA EVOLUTION 8"" SSO-50-8 POINTER                "
12056;1300;REGLA TABLA-MULTIPLICAR FABER C                   
12057;3700;REGLA TWIST-N FLEX 30CM MAPED                     
12058;600;TRANSPORTADOR 180 10CM ARTESCO                     
12059;100;TRANSPORTADOR 180 FIGURA CTE MORRISON              
12060;1300;TRANSPORTADOR 180 GRP FABER C                      
12061;2000;TRANSPORTADOR 180 PELIKAN                          
12062;900;TRANSPORTADOR 180-10CM L AZUL                      
12063;800;TRANSPORTADOR 180-12CM L AZUL                      
12064;400;TRANSPORTADOR 180G WQ014 CLARK                     
12065;1200;TRANSPORTADOR 180GRD MORRISON                      
12067;1200;TRANSPORTADOR 360 AR1379 CLARK                     
12068;1800;TRANSPORTADOR 360 GRP FABER C                      
12069;3100;TRANSPORTADOR 360 PELIKAN                          
12070;1200;TRANSPORTADOR 360-10CM L AZUL                      
12073;1300;TRANSPORTADOR 360GRD MORRISON                      
12074;600;TRANSPORTADOR DISCOVERY 180GRD                     
12075;700;TRANSPORTADOR DISCOVERY 360GRD                     
12077;600;TRANSPORTADOR 360ß CLIKIT          
12078;15300;TRANSPORTADOR TABLERO 180GRD FABRIESCOF            
12079;17000;TRANSPORTADOR TABLERO 360GRD FABRIESCOF            
12080;300;TRANSPORTADOR ZICO GEOM-AUXILIAR                   
12081;1900;ESCUADRA MULTIPLEX N 32 MORRISON                  
12082;1100;ESCUADRA X26CM 60GR MORRISON                       
12083;800;PLANTILLA ANIMALES MORRISON                       
12084;1800;REGLA METALICA 30CM BARRILITO                     
12085;2400;REGLA FLEXIBLE 30CM MAPED                                    
12087;2800;REGLA PLASTICA TRANSPARENTE CON ASA 30CM ICOPEL                                
12088;1700;ESCUADRA 60-21CM  MAPED                              
12089;100;BOLA ICOPOR N-1 INDUPOR                           
12090;800;BOLA ICOPOR N-10 INDUPOR                          
12091;1100;BOLA ICOPOR N-12 INDUPOR                          
12092;2000;BOLA ICOPOR N-14 INDUPOR                          
12093;2700;BOLA ICOPOR N-16 INDUPOR                          
12094;3700;BOLA ICOPOR N-18 INDUPOR                          
12095;100;BOLA ICOPOR N-2 INDUPOR                           
12096;4600;BOLA ICOPOR N-20 INDUPOR                          
12097;150;BOLA ICOPOR N-3 INDUPOR                           
12098;200;BOLA ICOPOR N-4 INDUPOR                           
12099;250;BOLA ICOPOR N-5 INDUPOR                           
12100;300;BOLA ICOPOR N-6 INDUPOR                           
12101;400;BOLA ICOPOR N-7 INDUPOR                           
12102;500;BOLA ICOPOR N-8 INDUPOR                           
12103;550;BOLA ICOPOR N-9 INDUPOR                           
12108;1300;ESFERA ICOPOR N-15 INDUPOR                        
12109;3400;ESFERA ICOPOR N-20 INDUPOR                        
12111;4100;ESFERA ICOPOR N-30 INDUPOR                        
12113;26900;LAMINA ICOPOR 1X1X100MM                  
12114;3600;LAMINA ICOPOR 1X1M 10MM              
12116;5300;LAMINA ICOPOR 1X1M 15MM                     
12117;7000;LAMINA ICOPOR 1X1M 20MM                
12118;8800;LAMINA ICOPOR 1X1M 25MM                  
12119;10500;LAMINA ICOPOR 1X1M 30MM                 
12120;14200;LAMINA ICOPOR 1X1M 40MM                 
12121;17200;LAMINA ICOPOR 1X1M 50MM                   
12123;900;LAMINA ICOPOR 50X50 10MM X1           
12124;1300;LAMINA ICOPOR 50X50 15MM X1         
12125;1700;LAMINA ICOPOR 50X50 20MM               
12127;205100;ROLLO BOLSA PUBLICIDAD 10X16 14 KILOS             
12136;205950;ROLLO BOLSA PUBLICIDAD 18X30 14.2 KILOS               
12141;900;LANA ESCOLAR COLOR STDO      
12145;1700;LANILLA ESCOLAR BLANCA-ROJA HERCHG                     
12147;1800;LANILLA ESCOLAR ROJA CLARK                       
12148;2200;LANILLA ESCOLAR ROJA-BLANCA M ANTONIA                    
12149;2200;TOALLA ESCOLAR STDA M ANTONIA                             
12151;5600;LAPIZ CARBONCILLO MEDIUM FABER C                  
12152;6500;LAPIZ PASTEL SANGUINA FABER C                     
12153;5900;LAPIZ PASTEL SEPIA FABER C                        
12156;2600;LUPA ESCOLAR 50MM 1318-AR1780 CLARK DIST                 
12158;3800;LUPA ESCOLAR 50MM GLASS MAGNIFING MEGA                     
12160;1900;LUPA ESCOLAR 60MM 1319 CLARK DIST                 
12162;2700;GLOBO METAL CORONA 60CM MEGA
12164;3000;LUPA ESCOLAR 75MM 1320 CLARK DIST                 
12170;1200;LUPA ESCOLAR BOLSILLO WB-550 JK                   
12172;2800;BORRADOR PORTAMARCADOR TRAZO LIMPIO TINTA Y T     
12173;5700;KIT BORRADOR+2 MARCADOR TRITON                    
12175;1700;MARCADOR 2P COLOR STDO DORICOLOR                         
12177;3700;MARCADOR POSTER METAL STDO 6MM 901 PRIMAVERA                       
12178;9400;MARCADOR POSTER STDO 15MM 900 PRIMAVERA           
12179;2400;MARCADOR BORRABLE 424 COLOR STDO PELIKAN               
12181;11900;MARCADOR ESCARCHADO X6 344 PRIMAVERA 
12182;9600;MARCADOR MAGICO X12 ARTISAN           
12183;9400;MARCADOR POSTER FLUOR STDO 15MM 902 PRIMAVERA             
12184;1700;MARCADOR BORRABLE 426 COLOR STDO PELIKAN               
12186;3600;MARCADOR POSTER STDO 6MM 900 PRIMAVERA           
12187;3600;MARCADOR POSTER FLUOR STDO 2MM 902 PRIMAVERA            
12188;3600;MARCADOR POSTER STDO 2MM 900 PRIMAVERA           
12189;3600;MARCADOR POSTER FLUOR STDO 6MM 902 PRIMAVERA             
12190;18000;MARCADOR BORRABLE 426 X8 UNID PELIKAN             
12191;2200;MARCADOR BORRABLE RECARGABLE STDO 506 OFFIESCO          
12193;3700;MARCADOR POSTER METAL STDO 2MM 901 PRIMAVERA              
12194;162000;ROLLO BOLSA PUBLICIDAD 10X16 16.2 KILOS        
12197;1300;MARCADOR P FINA COLOR STDO OFIPLUS       
12198;1400;MARCADOR BORRABLE DELG G208 CLARK                 
12200;1300;MARCADOR BORRABLE ACRIMAX A-124 COLOR STDO ARTESCO             
12204;10200;MARCADOR X8 8063108C SYSABE                    
12205;1000;MARCADOR BORRABLE JUNIOR 428 PELIKAN              
12207;1700;MARCADOR BORRABLE MANAUS MARKER COLOR STDO BIC           
12208;2400;MARCADOR SHARPIE ULTRA FINE STDO 
12209;10100;MARCADOR POSTER METAL STDO 15MM 901 PRIMAVERA         
12212;1900;MARCADOR BORRABLE 154 COLOR STDO FABER C           
12213;1500;MARCADOR BORRABLE COLOR MONGOL                    
12215;1450;MARCADOR BORRABLE COLOR STDO DORICOLOR             
12219;2900;MARCADOR BORRABLE RECARGABLE STDO SCRIPTECHNIK    
12221;8600;MARCADOR MAGICOS X8 345 PRIMAVERA
12232;5100;MARCADOR DE TIZA LIQUIDO TINTA Y T                
12233;1600;MARCADOR PERM P FINA STDO 526 OFFIESCO  
12234;12800;MARCADOR DOBLE PUNTA GIGANTE X8 544611 NORMA      
12235;15500;MARCADOR DOBLE PUNTA RF PM150-160-12 CLARK 
12237;1300;MARCADOR DORADO POINTER CLARK 
12240;2300;PEGANTE BARRA 40GR CLIKIT 
12241;1300;MARCADOR E130 PERMANENTE COLOR STDO EDDING             
12242;11900;MARCADOR PERM 420 EST X8 PASTEL PELIKAN          
12243;21800;MARCADOR WINDOW 600 EST X8 PELIKAN          
12245;2000;ESCUADRA 45-21 CM KORES                 
12247;15400;MARCADOR BORRABLE BISEL5MM X6 KORES         
12250;1900;MARCADOR E163 BORRABLE COLOR STDO EDDING               
12253;1800;MARCADOR E-180 ACUARELA COLOR STDO EDDING           
12256;8900;CINTA ENMASCARAR BASICA 40X48 MM TESA            
12258;2200;MARCADOR E-183 ACUARELA COLOR STDO EDDING           
12262;30800;BOLIGRAFO PLUMA ESTILOGRAFICA JAZZ BL/NG PELIKAN       
12263;12300;COLOR 3MM LARGO PASTEL X12 PELIKAN
12264;5500;MARCADOR E350 BORRABLE COLOR STDO EDDING               
12265;5900;ARMATODO X20 MORRISON            
12268;5200;MARCADOR E353 BORRABLE COLOR STDO EDDING               
12270;9400;MARCADOR BORRABLE 5MM EST X4 KORES            
12271;1300;REGLA FLEXIBLE ELASTIK 15CM KORES            
12274;3400;MARCADOR E360 BORRABLE COLOR STDO EDDING               
12279;22100;MARCADOR PERM MULTITRAZO X12 525 OFFIESCO
12282;3500;MARCADOR E363 BORRABLE COLOR STDO EDDING               
12287;17300;MARCADOR BORRABLE DELG EST X10 KORES     
12289;2800;CUCHILLA BISTURI GDE 18MM X10 170 OFFIESCO   
12293;1800;MARCADOR E-400 PERMANENTE COLOR STDO EDDING           
12298;9900;MARCADOR E-4000 CREATIVE EDDING                   
12301;11900;MARCADOR E-4000 DECO MARKER COLOR STDO EDDING          
12306;9300;MARCADOR TIZA E-4095 2-3MM COLOR STDO EDDING               
12310;16500;PLUMON KORELLO CONICO EST X24 KORES   
12311;2200;SACAPUNTAS MIGO DOBLE KORES         
12316;1900;MARCADOR GRAFICO 751 COLOR STDO PELIKAN               
12320;19000;MARCADOR GRAFICO 751 X10 COLOR PELIKAN            
12321;1700;MARCADOR GRAFICO COLOR STDO DORICOLOR                 
12322;20000;MARCADOR GRAFICO EST X10 STDO DORICOLOR           
12323;15500;MARCADOR GRAFICOS GEL X8 546250 NORMA             
12324;17400;MARCADOR GRAFICOS X9 SENSOR FABER C               
12325;12000;MARCADOR GRAFIGEL X8 KIUT 552007 NORMA            
12326;11300;MARCADOR LAVABLE GIGANTE X10 544610 NORMA         
12327;12000;MARCADOR LAVABLE NORMAL X12 544608 NORMA          
12328;16200;MARCADOR LAVABLE NORMAL X24 544609 NORMA          
12332;2400;MARCADOR SHARPIE FINE STDO        
12336;3600;MARCADOR SHARPIE METAL PLATA-DORADO 
12341;1900;MARCADOR METALICO 752 COLOR STDO PELIKAN                 
12343;19000;MARCADOR METALICO 752 X10 COLOR PELIKAN           
12357;13100;MARCADOR SHARPIE NEON TX5 STDO     
12362;2200;MARCADOR PERMANENTE 418 COLOR STDO PELIKAN             
12367;1200;MARCADOR PERMANENTE 420 COLOR  STDO PELIKAN             
12371;1500;MARCADOR PERMANENTE 54E COLOR STDO FABER C             
12374;18800;MARCADOR PUNTA PINCEL METAL X8 318 PRIMAVERA         
12376;1400;MARCADOR PERMANENTE ALTO-REND STDO DORICOLOR 
12383;1500;MARCADOR PERMANENTE CHISEL 2300COLOR STDO BIC           
12386;1300;MARCADOR PERMANENTE DELGADO 1200 EDDING           
12387;1700;RESALTADOR PLUS P BISEL COLOR STDO KORES 
12388;79600;MARCADOR RULETA SHARPIE FINE JUEGOS X30     
12389;1200;MARCADOR MULTIMAX A-24 COLOR STDO ARTESCO            
12395;2200;MARCADOR PERMANENTE GRIP COLOR STDO BIC                  
12397;800;MARCADOR PERMANENTE JUNIOR RF 408 PELIKAN         
12399;1100;MARCADOR PERMANENTE MANAUS COLOR STDO BIC              
12403;1600;MARCADOR PERMANENTE MARKER 240 COLOR STDO PELIKAN      
12408;700;MARCADOR PERMANENTE MINI GEMA AZ GENERAL M        
12410;700;MARCADOR PERMANENTE MINI GEMA VER GENERAL M       
12413;1100;MARCADOR PERMANENTE COLOR STDO DORICOLOR           
12414;200;GANCHO LOTERO 3/4 PULG UND TRITON  
12416;1700;MARCADOR PERMANENTE P FINA COLOR STDO NORMA       
12420;20650;MARCADOR PERMANENTE P FINA X13 STDO 550930 NORMA  
12423;8800;MARCADOR PERMANENTE X4 240 PELIKAN                
12426;1300;MARCADOR PLATEADO POINTER MK5118GD CLARK 
12427;21400;MARCADOR TIZA E-4090 COLOR STDO FLUOR 15MM EDDING   
12441;3600;MARCADOR TRAZO LIMPIO STDO 150 TINTA Y T           
12446;17300;MARCADOR VINILO TRAZARTE 15MLM TINTA Y T          
12447;7200;MARCADOR VINILO TRAZARTE 5MLM TINTA Y T           
12451;200;NO DISPONIBLE
12452;12800;PLUMON BICOLOR X10 FABER C                        
12454;7100;PLUMON X12 CLASSIC PELIKAN              
12458;2300;PLUMON DELGADO X6 MONGOL                          
12461;7500;PLUMON ESCOLAR 2 EN 1 KOLORELLO X10 KORES         
12464;1300;MARCADOR PERM P FINA STDO PRIMAVERA   
12465;5400;PLUMON FIESTA X6 30645 FABER C                    
12469;5900;PLUMON JUMBO X12 GIPAO
12474;12800;PLUMON JUMBO X10 PARCHESITOS                      
12475;7900;PLUMON KOLORELLO X12 KORES                        
12476;12900;PLUMON KOLORELLO X24 KORES                        
12484;6300;PLUMON NACIONAL X12 DORICOLOR                     
12485;3200;PLUMON NACIONAL X6 DORICOLOR                      
12488;4200;PLUMON PINTALOCO X12 PELIKAN                      
12496;7100;PLUMON TRIANG X12 COLORELLA PELIKAN                                
12497;5600;PLUMON X12 MI TRENSITO                               
12498;2400;PLUMON X12 TRITON                                 
12500;12800;PLUMON COLORELLA X24 CLASSIC PELIKAN                                
12501;5500;PLUMON X6 COLORELLA PELIKAN                                 
12503;24900;MARCADOR GRAFICO METALIZADO X6 1099 PRIMAVERA               
12507;1000;MARCADOR PERMANENTE UNICOLOR MONGOL               
12512;18400;MASA KIT MOLDE DELI-BURGER 548652 NORMA           
12513;46600;MASA KIT MOLDE-CARAS DIV 547079 NORMA             
12524;25600;MASA KIT-MOLDE MINI CUPCAKES 552034 NORMA         
12527;6900;KIT DE PUNTEO Y GRABADO X6 AR2607           
12552;12500;JUEGOJENGA GRANDE AR2358 CLARK
12564;4900;PLASTILINA JUMBO PASTEL X12 KORES                 
12570;900;PLASTILINA *32 NEON SURTIDO PARCHESITOS           
12580;800;PLASTILINA *37 5 COLOR STDO PARCHESITOS           
12584;800;PLASTILINA *37 5 NEON STDO PARCHESITOS             
12609;3400;PLASTILINA 125CC COLOR STDO PARCHESITOS           
12617;3200;PLASTILINA 13 COLOR LARGA PARCHESITOS             
12631;10500;PLASTILINA 616-640 SURTIDA PARCHESITOS            
12642;2700;PLASTILINA X250G FLUORECENTE STDO ALVAPLAST                      
12647;700;PLASTILINA BARRA P•A FLUORECENTE STDO ALVAPLAS      
12649;600;PLASTILINA BARRA P•A COLOR STDO ALVAPLAST         
12657;700;PLASTILINA BARRA P•A PASTEL STDO ALVAPLAST                
12668;5100;PLASTILINA BLOQUE LIBRA COLOR STDO ALVAPLAST      
12672;2600;CARTILLA CUENTIMANDALAS+ QR VIDEOS ALVAPLAS  
12683;2900;PLASTILINA BLOQUE X180G CAFE 548719 NORMA         
12690;6300;PLASTILINA GIGANTE X12 260G 544231 NORMA          
12691;700;PLASTILINA GITANA BARRA X100GR                    
12695;7200;PLASTILINA JUMBO NEON X12 ARTESCO                 
12696;3100;PLASTILINA JUMBO X10 PARCHESITOS                  
12697;5000;PLASTILINA JUMBO X12 CORTA KORES                  
12698;3400;PLASTILINA LARGA PL-8L FABER C                    
12699;6600;PLASTILINA LARGA X12 522822 NORMA                 
12700;6500;PLASTILINA LARGA X12 PL-12L FABER C               
12701;24100;PLASTILINA MAGIMASA C/4 COLOR PELIKAN             
12703;7600;PLASTILINA NEON LARGA X10 PLN-10L FABER C         
12704;3300;PLASTILINA PERSONAJE NI•A 746 PRIMAVERA           
12705;3300;PLASTILINA PERSONAJE NI•O 747 PRIMAVERA           
12706;2400;PLASTILINA TRENSITO GDE X13 ALVAPLAST             
12707;3300;PLASTILINA TRENSITO JUMBO X12 ALVAPLAST           
12708;1400;PLASTILINA TRENSITO LARGA X9 ALVAPLAST              
12709;700;PLASTILINA TRENSITO PEQ X9 ALVAPLAST              
12713;3600;PLASTILINA X10 DELG CORTA KORES                   
12714;4400;PLASTILINA X10 NEON X10 PL-10 FABER C             
12715;3800;PLASTILINA X200GR COLOR STDO JJ SPORT             
12718;161000;ROLLO BOLSA PUBLICIDAD 10X16 16.1 KILOS           
12722;2600;PLASTILINA X250G COLOR STDO ALVAPLAST             
12736;900;PLASTILINA X9 COLOR CORTA PARCHESITOS             
12737;2200;PLASTILINA X9 COLOR LARGA PARCHESITOS             
12738;10700;PLASTIMASA TRENSITO X6 STDA ALVAPLAST             
12739;1000;PLASTILINA *32 UNICOLOR STDA PARCHESITOS          
12753;16800;MICROPUNTA GRIP FINEPEN X10UND FABER C            
12754;32800;MICROPUNTA GRIP FINEPEN X20UND FABER C            
12757;1200;MICROPUNTA K LINER DELGADO COLOR STDO KORES               
12759;1800;MICROPUNTA PAPER MATE FLAIR 0.7MM STDO               
12762;1400;MICROPUNTA COLOR STDO FABER C               
12763;1200;MICROPUNTA NEGRO L AZUL                           
12764;1100;MICROPUNTA COLOR STDO PELIKAN                          
12767;20600;MICROPUNTA PEN-68 STDO EST X15UND LEGIS           
12768;17200;MICROPUNTA PLUS P METAL X12 PELIKAN               
12781;1500;MICROPUNTA POINT COLOR STDO LEGIS                     
12791;26600;MICROPUNTA POINT STDO EST X10UND ICOPEL
12792;38500;MICROPUNTA POINT STDO EST X15UND ICOPEL
12795;16700;MICROPUNTA POINT STDO EST X6UND ICOPEL
12804;53800;MICROPUNTA POINT ZEBRUI STDO X20UND ICOPEL
12805;2600;MICROPUNTA POINT-STABILO COLORES ICOPEL
12808;72500;MICROPUNTA ROLLER STDO X25UND ICOPEL
12820;11200;RAPIDOGRAFO CALIB 0.3 - 0.8MM KORES                      
12823;6200;RAPIDOGRAFO E-1880 0 05-08 STDO NEGRO EDDING              
12832;37800;RAPIDOGRAFO SET X6 KORES                          
12836;47700;RAPIDOGRAFO RECARGABLE 03-08 STAEDTLER                      
12839;10100;BOLSO DE MANO PERSONAJES PRIMAVERA                
12845;35000;BOLSO MINNIE TIPO CARTERA PRIMAVERA               
12848;42900;LONCHERA FASHION JEAN BOOK SHIC 552167 NORMA      
12850;42900;LONCHERA FASHION KIUT VIBES 552160 NORMA          
